event,episode,reward,weight,best_value,total_weight,total_value,capacity,message
message,,,,,,,,--- Training Start ---
episode,366,37.0,30,49,,,,
episode,367,49.0,30,49,,,,
episode,368,49.0,30,49,,,,
episode,369,42.0,30,49,,,,
episode,370,39.0,30,49,,,,
episode,371,49.0,30,49,,,,
episode,372,33.0,30,49,,,,
episode,373,42.0,30,49,,,,
episode,374,42.0,30,49,,,,
episode,375,33.0,30,49,,,,
episode,376,42.0,30,49,,,,
episode,377,49.0,30,49,,,,
episode,378,35.0,30,49,,,,
episode,379,23.0,30,49,,,,
episode,380,49.0,30,49,,,,
episode,381,24.0,30,49,,,,
episode,382,25.0,30,49,,,,
episode,383,49.0,30,49,,,,
episode,384,34.0,30,49,,,,
episode,385,41.0,30,49,,,,
episode,386,49.0,30,49,,,,
episode,387,49.0,30,49,,,,
episode,388,17.0,30,49,,,,
episode,389,23.0,30,49,,,,
episode,390,39.0,30,49,,,,
episode,391,49.0,30,49,,,,
episode,392,49.0,30,49,,,,
episode,393,42.0,30,49,,,,
episode,394,33.0,30,49,,,,
episode,395,37.0,30,49,,,,
episode,396,49.0,30,49,,,,
episode,397,39.0,30,49,,,,
episode,398,35.0,30,49,,,,
episode,399,27.0,30,49,,,,
episode,400,39.0,30,49,,,,
episode,401,49.0,30,49,,,,
episode,402,49.0,30,49,,,,
episode,403,39.0,30,49,,,,
episode,404,49.0,30,49,,,,
episode,405,49.0,30,49,,,,
episode,406,49.0,30,49,,,,
episode,407,49.0,30,49,,,,
episode,408,49.0,30,49,,,,
episode,409,49.0,30,49,,,,
episode,410,32.0,30,49,,,,
episode,411,49.0,30,49,,,,
episode,412,42.0,30,49,,,,
episode,413,39.0,30,49,,,,
episode,414,33.0,30,49,,,,
episode,415,41.0,30,49,,,,
episode,416,49.0,30,49,,,,
episode,417,42.0,30,49,,,,
episode,418,41.0,30,49,,,,
episode,419,49.0,30,49,,,,
episode,420,42.0,30,49,,,,
episode,421,33.0,30,49,,,,
episode,422,32.0,30,49,,,,
episode,423,35.0,30,49,,,,
episode,424,25.0,30,49,,,,
episode,425,39.0,30,49,,,,
episode,426,38.0,30,49,,,,
episode,427,36.0,30,49,,,,
episode,428,35.0,30,49,,,,
episode,429,49.0,30,49,,,,
episode,430,45.0,30,49,,,,
episode,431,31.0,30,49,,,,
episode,432,39.0,30,49,,,,
episode,433,35.0,30,49,,,,
episode,434,49.0,30,49,,,,
episode,435,49.0,30,49,,,,
episode,436,49.0,30,49,,,,
episode,437,49.0,30,49,,,,
episode,438,31.0,30,49,,,,
episode,439,33.0,30,49,,,,
episode,440,49.0,30,49,,,,
episode,441,49.0,30,49,,,,
episode,442,45.0,30,49,,,,
episode,443,49.0,30,49,,,,
episode,444,39.0,30,49,,,,
episode,445,32.0,30,49,,,,
episode,446,16.0,30,49,,,,
episode,447,43.0,30,49,,,,
episode,448,39.0,30,49,,,,
episode,449,41.0,30,49,,,,
episode,450,49.0,30,49,,,,
episode,451,49.0,30,49,,,,
episode,452,33.0,30,49,,,,
episode,453,49.0,30,49,,,,
episode,454,49.0,30,49,,,,
episode,455,49.0,30,49,,,,
episode,456,41.0,30,49,,,,
episode,457,49.0,30,49,,,,
episode,458,49.0,30,49,,,,
episode,459,45.0,30,49,,,,
episode,460,42.0,30,49,,,,
episode,461,35.0,30,49,,,,
episode,462,39.0,30,49,,,,
episode,463,49.0,30,49,,,,
episode,464,49.0,30,49,,,,
episode,465,35.0,30,49,,,,
episode,466,41.0,30,49,,,,
episode,467,15.0,30,49,,,,
episode,468,41.0,30,49,,,,
episode,469,49.0,30,49,,,,
episode,470,41.0,30,49,,,,
episode,471,42.0,30,49,,,,
episode,472,29.0,30,49,,,,
episode,473,41.0,30,49,,,,
episode,474,49.0,30,49,,,,
episode,475,45.0,30,49,,,,
episode,476,35.0,30,49,,,,
episode,477,49.0,30,49,,,,
episode,478,22.0,30,49,,,,
episode,479,30.0,30,49,,,,
episode,480,42.0,30,49,,,,
episode,481,49.0,30,49,,,,
episode,482,42.0,30,49,,,,
episode,483,39.0,30,49,,,,
episode,484,49.0,30,49,,,,
episode,485,49.0,30,49,,,,
episode,486,35.0,30,49,,,,
episode,487,49.0,30,49,,,,
episode,488,23.0,30,49,,,,
episode,489,39.0,30,49,,,,
episode,490,33.0,30,49,,,,
episode,491,35.0,30,49,,,,
episode,492,49.0,30,49,,,,
episode,493,23.0,30,49,,,,
episode,494,38.0,30,49,,,,
episode,495,45.0,30,49,,,,
episode,496,33.0,30,49,,,,
episode,497,49.0,30,49,,,,
episode,498,45.0,30,49,,,,
episode,499,39.0,30,49,,,,
episode,500,41.0,30,49,,,,
message,,,,,,,,--- Training End ---
message,,,,,,,,Training finished in 0.050s
message,,,,,,,,Q-table entries: 267
solution,,,,,30,49,30,
message,,,,,,,,Best tracked value: 49.0 (weight 30)
